SUBSCRIPTION_ID,RELATIONSHIP_STRENGTH,SENTIMENT,NPS_SCORE,IS_DELINQUENT,NUMBER_OF_LOCATIONS,ANNUAL_REVENUE,PARTNERSHIP,BILLING_CITY,BUSINESS_TYPE,CUISINE,PAYMENT_PLAN,CHURN_DATE
sub_AvDydkrF6nz8TR,Good,,,FALSE,1,2988,,New York,Restaurant,American (New),Yearly,
sub_8zRowtfu8Azmav,Good,,,FALSE,1,1428,,New York,Restaurant,Barbecue,Monthly,
sub_DV90qiUJddD4P1,Good,,,FALSE,1,2149,,Brooklyn,Restaurant,American (New),Monthly,
sub_EoU0RSzLhyC2ob,Neutral,,,FALSE,1,2148,US Foods,San Diego,Restaurant,American (New),Monthly,
sub_7RsKGKasAbt1vj,Neutral,positive,,FALSE,2,2148,,Pittsburgh,Restaurant,Asian Fusion,Monthly,
sub_FL95B2tQFct4JL,Neutral,,,FALSE,2,2388,,Oakland,Restaurant,Deli / Sandwiches,Monthly,
sub_F1afZb8gpQanOM,Good,,,FALSE,1,1826.65,,Chicago,Hospitality Group,American (New),Yearly,
sub_Csahx8dkvx82Y9,Good,,,FALSE,1,1908,US Foods,South Bend,Brewery / Winery,American (New),Monthly,
sub_Dcexm6uWCxKBA5,Neutral,,,FALSE,4,1908,US Foods,Logan,Restaurant,Pizza,Monthly,
sub_BzBYkpOyR5tmn9,Neutral,,,FALSE,1,2148,,New Orleans,Restaurant,Southern / Creole,Yearly,
sub_FELKvw6g40cxeZ,Good,,10,FALSE,4,2388,,San Antonio,Hospitality Group,"[""American"",""Contemporary"",""Southern"",""Pub Food"",""Seafood""]",Monthly,
sub_9Kgg34o4zjwpCa,,,,FALSE,1,0,,New York,Bakery / Confectionary,Baked Goods / Confections,Monthly,2018-12-18 00:00:00.000 +0000
sub_7SYnItxk7COpRJ,Neutral,,10,FALSE,1,1188,,Jersey City,Restaurant,American (New),Monthly,
sub_CS6Ik2dLw7WsD2,Neutral,neutral,,FALSE,1,1908,US Foods,Minerva,Brewery / Winery,Other,,
sub_DDXPybUge3pzuk,Good,,,FALSE,1,2677,,New York,Restaurant,American (Traditional),Yearly,2018-06-18 00:00:00.000 +0000
sub_AmFtcCothHh7N8,Neutral,neutral,10,FALSE,1,2388,,Austin,Bar,Bar - Cocktail,Monthly,
sub_9zaHh1sbxxbxN8,Good,neutral,,FALSE,1,4188,,New York,Restaurant,Other,Monthly,
sub_8yYl3BR5KX2HRG,Neutral,,,FALSE,1,1188,,Washington,Restaurant,Thai,,
sub_F7bVityeY3gMTn,Neutral,neutral,,FALSE,1,2388,,Montclair,Restaurant,Salad,Monthly,
sub_8oAVrA9jjsiUy7,Good,,,FALSE,3,948,US Foods,Greensboro,Restaurant,Burgers,Monthly,
sub_9U63NLQ6ZedgNR,Good,positive,2,FALSE,1,1188,,San Francisco,Restaurant,Asian Fusion,Yearly,
sub_EgLTfJU1MJGQbJ,Neutral,neutral,,FALSE,2,4056,,Ocean City,Deli,"[""American"",""Deli"",""Sandwiches"",""Subs""]",Monthly,2019-10-01 00:00:00.000 +0000
sub_803mptaiGDEXcL,Neutral,neutral,7,FALSE,1,1428,,Cambridge,Restaurant,American (New),Yearly,
sub_F6soPijCqcFFNN,Neutral,neutral,,FALSE,3,1908,US Foods,Sleep Hollow,Restaurant,Mexican,Monthly,
sub_EUHm4W10WxERte,Neutral,positive,,FALSE,8,4056,,Bay Ridge,Restaurant,Vegetarian / Vegan / Gluten-Free / Healthy / Organic,,
sub_7vqaAMXSzP92Fj,Neutral,,10,FALSE,1,4188,,New York,Restaurant,Bar - Cocktail,Monthly,
sub_DVyL5xynPsz2RO,Good,neutral,,FALSE,1,3649,,New York,Event Space,Other,Yearly,
sub_Eyx94BSNW3J47S,Neutral,,,FALSE,1,2388,,Tampa,Restaurant,"[""Ice Cream"",""Thai""]",Monthly,
sub_BSxr1YlyCJKrQg,Neutral,,10,FALSE,1,468,US Foods,Elizabeth City,Restaurant,American (Traditional),Monthly,
sub_6zT0auSZlntdDX,Neutral,,,FALSE,1,2148,,Poughkeepsie,Restaurant,French,Monthly,
sub_AVmfD7g1cryDoB,Good,,,FALSE,1,1428,,Quincy,Restaurant,Japanese,,
sub_G7mTK2j5xCv087,,,,FALSE,1,,,Middleburgh,Brewery / Winery,Bar - Traditional,Monthly,
sub_Fzr45Q9eXLMVI3,,,,FALSE,1,,US Foods,Waterville,Restaurant,American (Traditional),Monthly,
sub_F9pyEZ9NR4b3F1,Neutral,,8,FALSE,1,2388,,Elmira,Brewery / Winery,Bar - Traditional,Monthly,
sub_DksTkwZJaweSin,Neutral,positive,,FALSE,1,2388,,Dennis Port,Restaurant,Classic/Varied,Monthly,
sub_80NyaHDbcrmvUY,Neutral,,,FALSE,1,1428,,New York,Bar,Bar - Traditional,Monthly,
sub_9972NsxvxqXcVv,Neutral,neutral,,FALSE,1,1188,,Cambridge,Restaurant,American (New),Yearly,
sub_Al8rAKd6eyQkbt,Neutral,,,FALSE,1,1428,,Woodstock,Restaurant,American (Traditional),Monthly,
sub_BtZWLGOG1SFgOF,Neutral,neutral,,FALSE,2,1668,,Washington,Restaurant,Middle Eastern,Monthly,
sub_8BaFSQsYqOV3ww,Good,neutral,10,FALSE,1,4537,NYC Hospitality Alliance,New York,Restaurant,Italian,,
sub_CJnY5kbtGXwktc,Neutral,neutral,,FALSE,1,2388,,Tallahassee,Restaurant,Asian Fusion,Monthly,
sub_CPRtdAvQ7gqzk2,Good,,,FALSE,1,2148,,New York,Bar,Bar - Traditional,Yearly,
sub_DoNb9OqhgWBNjs,Neutral,,10,FALSE,1,2976,,New Rochelle,Restaurant,Italian,Monthly,
sub_7K6PF3tYXnfZPM,Neutral,,,FALSE,1,948,US Foods,High Point,Restaurant,American (Traditional),Monthly,
sub_AgfMhF96HI1byF,Good,,,FALSE,1,4548,,New York,Restaurant,French,Monthly,
sub_FAWA1QXl0gc4K4,Neutral,neutral,10,FALSE,1,3650,,Devens,Restaurant,American (New),Yearly,
sub_F49zZV2XUjtU3J,Neutral,,,FALSE,1,1908,US Foods,St. Louis,Bakery / Confectionary,Baked Goods / Confections,Monthly,
sub_CalOSvXWhhXQ3v,Neutral,,,FALSE,3,2976,,Los Angeles,Restaurant,Mexican,Monthly,
sub_CBxvHw4zNvimxM,Good,,,FALSE,1,2052,,New York,Restaurant,Italian,Yearly,
sub_CKAVBnT3k51YP7,Neutral,neutral,,FALSE,1,2388,Square,Gettysburg,Cafe / Coffee Shop,Coffee,Monthly,
sub_ElmyEmqxpOnGfV,Good,,,TRUE,12,2388,,Bogata,Bakery / Confectionary,Baked Goods / Confections,Monthly,2019-01-08 00:00:00.000 +0000
sub_9p0CboeHL3uwP7,Neutral,,,FALSE,1,1428,,Quincy,Restaurant,Japanese,,
sub_EHRhQHO4ulw8oP,Neutral,,10,FALSE,1,2388,,Columbus,Restaurant,Spanish,Monthly,
sub_AY0Cs2IRVlQrvS,Neutral,,0,FALSE,1,948,US Foods,Newton,Restaurant,Mediterranean / Greek,Monthly,
sub_Eo7685Q8S38BD9,Neutral,,,FALSE,1,2388,,New york,Hospitality Group,Bar - Cocktail,Monthly,
sub_ELxo20AEI2xxQ0,Neutral,neutral,,FALSE,2,1908,US Foods,Fairless Hills,Restaurant,American (Traditional),Monthly,
sub_FaN9UvyUxnfgQH,,,,FALSE,1,,,Mexico City,Bar,Bar - Traditional,Yearly,
sub_ACFD56H2LEgVB5,Neutral,neutral,,FALSE,1,2148,,Arlington Heights,Restaurant,Mexican,Yearly,
sub_EoUE81CkTiy64u,Neutral,neutral,,FALSE,1,1908,US Foods,Sarasota,Restaurant,American (New),Monthly,
sub_BSmuHLx6zj8jRJ,Neutral,,,FALSE,1,1188,,Seoul,Restaurant,Salad,Yearly,
sub_F3pCVTbi1gdpIK,Neutral,,,FALSE,1,1188,US Foods,Kent,Restaurant,Steakhouse,Monthly,
sub_AUhEus4FOfPUk7,Neutral,,,FALSE,1,2388,,Miami Beach,Restaurant,Southern / Creole,,2019-10-01 00:00:00.000 +0000
sub_FX5yD25pR9IPBw,Good,,9,FALSE,1,0,US Foods,Philadelphia,Restaurant,Southern,Monthly,
sub_EYRtNGlW1hqqRO,Neutral,,,FALSE,1,2148,US Foods,Las Vegas,Restaurant,American (Traditional),Monthly,
sub_FmSjD0E1kVR37j,,,,FALSE,1,,US Foods,Carrolton,Restaurant,Coffee,Monthly,
sub_G3cbHev4h7qB5i,,,,FALSE,1,,,Atlanta,Restaurant,American (New),Monthly,
sub_7N1ZAAim5Osxxp,Neutral,neutral,,FALSE,1,1188,,Falls Church,Restaurant,American (New),Monthly,
sub_Fu5ny6tHa2liG8,,,,FALSE,2,,,Oakland,Restaurant,Pizza,Monthly,
sub_EBDqS5Zxs93FLu,Neutral,,,FALSE,1,2388,,Washington,Restaurant,Latin American,Monthly,
sub_9JcHRoMdii2ZRI,Neutral,,,FALSE,1,2148,,New York,Restaurant,Seafood,Monthly,
sub_FAeS91O17zeIG6,Neutral,,,FALSE,1,2388,,Whittier,Restaurant,Burgers,Monthly,
sub_F0RYw9g0H4klyj,Neutral,,,FALSE,1,2388,,New York,Restaurant,Mediterranean / Greek,,
sub_Dr0BBI5RlJ19f9,Good,neutral,,FALSE,1,2388,,Washington,Restaurant,American (Traditional),Monthly,
sub_FhDBPi5E5DaUyV,Good,,,FALSE,1,,,New York,Restaurant,American (New),Monthly,
sub_G0bZPgeZXleRcQ,Neutral,,,FALSE,1,,US Foods,Flemington,Restaurant,Italian,Monthly,
