CHURN_DATE,HEALTH_SCORE,HEALTH_SCORE_UPDATED_DATE,RELATIONSHIP_STRENGTH,SENTIMENT,LAST_ZENDESK_TICKET_DATE,NPS_SCORE,NPS_SCORE_DATE,LAST_LOGIN,IS_EDITED,IS_DELINQUENT,IS_CONCEPT,NUMBER_OF_CONCEPTS,NUMBER_OF_LOCATIONS,ANNUAL_REVENUE,ANNUAL_HOSPITALITY_GROUP_REVENUE,PARTNERSHIP,BILLING_CITY,BILLING_COUNTRY,BILLING_STATE,BUSINESS_MARKET,BUSINESS_TYPE,SERVICE_STYLE,NEW_OR_EXISTING,CUISINE,INTERESTED_IN_CATERING_STORE,INTERESTED_IN_ECOMMERCE,INTERESTED_IN_GIFT_CARDS,INTERESTED_IN_MENU_MANAGEMENT,INTERESTED_IN_MOBILE_WEB,INTERESTED_IN_SEO,CREATED_DATE,CUSTOMER_SINCE,CUSTOMER_WON_DATE,DATE_OF_FIRST_OPPORTUNITY,LAST_EDIT,LAUNCH_DATE,PAYMENT_PLAN,FREQUENCY,SUBSCRIPTION_ID,SUBSCRIPTION_ITEM_ID,PRODUCT_ID,PRODUCT_QUANTITY,PRODUCT_PRICE,START_DATE,END_DATE
,60,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-08-30 20:01:13.000 +0000,,,2019-09-17 04:00:00.000 +0000,FALSE,FALSE,1,1,4,2388,2388,,Westborough,United States,Massachusetts,Boston,Restaurant,Full Service - Casual,Existing Establishment,"[""Indian"",""Asian"",""Fusion"",""Salad""]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-01-11 22:07:14.000 +0000,2019-01-16 00:00:00.000 +0000,2019-01-16 00:00:00.000 +0000,2019-01-11 22:07:16.000 +0000,2019-08-22 12:26:19.000 +0000,2019-04-03 00:00:00.000 +0000,Monthly,Monthly,sub_ELoN915zTsNZme,si_ELoNkwtU9q5Eey,base_essentials_monthly,1,119,2019-01-16 05:15:57.000 +0000,2019-02-16 05:15:56.000 -0800
,60,2019-11-08 00:31:00.000 +0000,Neutral,neutral,2019-08-30 20:01:13.000 +0000,,,2019-09-17 04:00:00.000 +0000,FALSE,FALSE,1,1,4,2388,2388,,Westborough,United States,Massachusetts,Boston,Restaurant,Full Service - Casual,Existing Establishment,"[""Indian"",""Asian"",""Fusion"",""Salad""]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-01-11 22:07:14.000 +0000,2019-01-16 00:00:00.000 +0000,2019-01-16 00:00:00.000 +0000,2019-01-11 22:07:16.000 +0000,2019-08-22 12:26:19.000 +0000,2019-04-03 00:00:00.000 +0000,Monthly,Monthly,sub_ELoN915zTsNZme,si_ERbuuWR5sTjs63,base_plus_monthly,1,199,2019-01-31 16:46:52.000 +0000,
,,,,,,,,,FALSE,FALSE,1,1,1,,0,,Royal Palm Beach,United States,Florida,,Brewery / Winery,Bar,Existing Establishment,American (New),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-11-12 20:23:57.000 +0000,2019-11-13 00:00:00.000 +0000,2019-11-13 00:00:00.000 +0000,2019-11-12 20:23:58.000 +0000,,,Monthly,Monthly,sub_GAjOITcqx0hAL9,si_GAjOtHHIzB5ugI,base_essentials_monthly,1,113.05,2019-11-13 15:38:59.000 +0000,
,64,2019-11-08 00:31:00.000 +0000,Good,,,,,2019-11-14 05:00:00.000 +0000,FALSE,FALSE,1,,1,1188,12588,,Boston,United States,Massachusetts,Boston,Bar,Full Service - Casual,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-04 16:40:52.000 +0000,2016-07-27 00:00:00.000 +0000,2016-07-27 00:00:00.000 +0000,2016-08-20 18:22:40.000 +0000,2019-11-12 03:06:06.000 +0000,2016-09-14 00:00:00.000 +0000,Monthly,Monthly,sub_8tkQGZCvUFBhzR,si_F81QOjrKQeEmwg,base_plus_monthly,1,199,2019-05-24 21:57:17.000 +0000,2019-06-27 18:39:05.000 -0700
,64,2019-11-08 00:31:00.000 +0000,Good,,,,,2019-11-14 05:00:00.000 +0000,FALSE,FALSE,1,,1,1188,12588,,Boston,United States,Massachusetts,Boston,Bar,Full Service - Casual,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-04 16:40:52.000 +0000,2016-07-27 00:00:00.000 +0000,2016-07-27 00:00:00.000 +0000,2016-08-20 18:22:40.000 +0000,2019-11-12 03:06:06.000 +0000,2016-09-14 00:00:00.000 +0000,Monthly,Monthly,sub_8tkQGZCvUFBhzR,si_FA9YypVGlIzAnJ,baby,1,99,2019-05-30 14:29:02.000 +0000,
,64,2019-11-08 00:31:00.000 +0000,Good,,,,,2019-11-14 05:00:00.000 +0000,FALSE,FALSE,1,,1,1188,12588,,Boston,United States,Massachusetts,Boston,Bar,Full Service - Casual,Existing Establishment,American (Traditional),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-04 16:40:52.000 +0000,2016-07-27 00:00:00.000 +0000,2016-07-27 00:00:00.000 +0000,2016-08-20 18:22:40.000 +0000,2019-11-12 03:06:06.000 +0000,2016-09-14 00:00:00.000 +0000,Monthly,Monthly,sub_8tkQGZCvUFBhzR,si_DqYgGMhdb7ehtf,baby,1,99,2018-10-24 18:58:34.000 +0000,2019-05-27 18:39:05.000 -0700
,45,2019-11-08 00:31:00.000 +0000,,,,10,2019-09-13 04:00:00.000 +0000,2019-11-18 05:00:00.000 +0000,FALSE,FALSE,1,,1,2388,0,,Swansea,United States,Massachusetts,,Restaurant,Full Service - Casual,Existing Establishment,Barbecue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-07-01 19:37:35.000 +0000,2019-07-11 00:00:00.000 +0000,2019-07-11 00:00:00.000 +0000,2019-07-01 19:37:37.000 +0000,2019-11-13 20:57:06.000 +0000,2019-08-28 00:00:00.000 +0000,Monthly,Monthly,sub_FPui0rKYmn2vlE,si_FPuiyNteyFNhyQ,base_plus_monthly,1,199,2019-07-11 16:13:18.000 +0000,
,72,2019-11-08 00:31:00.000 +0000,Good,,,9,2019-08-12 04:00:00.000 +0000,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,1,1,1428,5004,,Minneapolis,United States,Minnesota,Minnesota,Restaurant,Full Service - Casual,Existing Establishment,Pizza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016-08-04 16:40:56.000 +0000,2016-03-31 00:00:00.000 +0000,2016-03-31 00:00:00.000 +0000,2016-08-20 18:22:49.000 +0000,2019-11-18 17:17:02.000 +0000,2016-10-25 00:00:00.000 +0000,Yearly,Annual,sub_8BghQEW5dpMSCY,si_18UDux2vS2BuzRKbaoCAsp8W,essentials_yearly,1,1188,2016-04-01 03:52:05.000 +0000,
,86,2019-11-08 00:31:00.000 +0000,Good,neutral,2019-08-28 13:45:49.000 +0000,,,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,1,3,7728,0,,Denver,United States,Colorado,,Restaurant,Full Service - Casual,Existing Establishment,"Contemporary American, Vegetarian / Vegan, Southern",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-04-08 17:05:58.000 +0000,2019-04-23 00:00:00.000 +0000,2019-04-23 00:00:00.000 +0000,2019-04-08 17:05:59.000 +0000,2019-11-18 17:32:29.000 +0000,2019-08-19 00:00:00.000 +0000,Monthly,Monthly,sub_EwKlsKVtNUkLzo,si_EwKlKrx5DBvzlz,base_plus_monthly,1,159.2,2019-04-23 17:07:23.000 +0000,
,86,2019-11-08 00:31:00.000 +0000,Good,neutral,2019-08-28 13:45:49.000 +0000,,,2019-11-18 05:00:00.000 +0000,TRUE,FALSE,1,1,3,7728,0,,Denver,United States,Colorado,,Restaurant,Full Service - Casual,Existing Establishment,"Contemporary American, Vegetarian / Vegan, Southern",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-04-08 17:05:58.000 +0000,2019-04-23 00:00:00.000 +0000,2019-04-23 00:00:00.000 +0000,2019-04-08 17:05:59.000 +0000,2019-11-18 17:32:29.000 +0000,2019-08-19 00:00:00.000 +0000,Monthly,Monthly,sub_EwKlsKVtNUkLzo,si_EwKlBVVXb9JJbu,addon_private_events_yearly,2,119.2,2019-04-23 17:07:23.000 +0000,2019-09-23 17:07:23.000 -0700
